Ьрђх№шры;;;;Ъ№рђъшщ ђхъёђ ьрђх№шрыр;;;;;Ч-ф;Шьџ 1
бъыф;ТФт;Ю;ФюъѓьЬђ№;;Яюч.;Ф/я№ютюфъш;Ъюы-тю т ХШ ттюфр;ХШТ;;
;;;;;;;;;;
3697643/;;;;MPL CLIP, яюфњхь 0 ьь, ё/т  173L8100;;;;;1100;жхэђ№.ёъырф-дшх№р
1100;643;;4900751165;;72;19.03.2018;-500;ив;;
1100;643;;4900750730;;40;19.03.2018;-500;ив;;
1100;643;;4900750028;;10;16.03.2018;-1000;ив;;
1100;643;;4900749981;;149;16.03.2018;-3000;ив;;
1100;643;;4900750399;;32;16.03.2018;-500;ив;;
1100;643;;4900749760;;86;16.03.2018;-500;ив;;
1100;643;;4900750276;;42;16.03.2018;-1000;ив;;
1100;643;;4900749668;;65;15.03.2018;-500;ив;;
1100;643;;4900749661;;92;15.03.2018;-1500;ив;;
1100;643;;4900749483;;68;15.03.2018;-1500;ив;;
1100;643;;4900748982;;76;15.03.2018;-500;ив;;
1100;643;;4900748467;;235;14.03.2018;-6000;ив;;
1100;643;;4900748271;;78;14.03.2018;-1000;ив;;
1100;643;;4900748232;;58;14.03.2018;-500;ив;;
1100;101;;5000040165;;50;14.03.2018;27 500;ив;;
1100;643;;4900747528;;26;13.03.2018;-500;ив;;
1100;643;;4900747509;;65;13.03.2018;-500;ив;;
1100;643;;4900747692;;52;13.03.2018;-500;ив;;
1100;643;;4900746563;;14;12.03.2018;-500;ив;;
1100;101;;5000040092;;78;12.03.2018;16 000;ив;;
1100;643;;4900745528;;114;07.03.2018;-1000;ив;;
1100;643;;4900744448;;82;06.03.2018;-1000;ив;;
1100;643;;4900744323;;93;06.03.2018;-500;ив;;
1100;643;;4900744863;;99;06.03.2018;-500;ив;;
1100;643;;4900744801;;168;06.03.2018;-500;ив;;
1100;643;;4900744208;;30;06.03.2018;-500;ив;;
1100;643;;4900744290;;85;06.03.2018;-1000;ив;;
1100;643;;4900744938;;80;06.03.2018;-1000;ив;;
1100;643;;4900744614;;71;06.03.2018;-500;ив;;
1100;643;;4900744801;;167;06.03.2018;-2500;ив;;
1100;643;;4900744663;;21;06.03.2018;-500;ив;;
1100;643;;4900743881;;136;05.03.2018;-2000;ив;;
1100;643;;4900744052;;104;05.03.2018;-500;ив;;
1100;643;;4900744032;;55;05.03.2018;-500;ив;;
1100;643;;4900744043;;73;05.03.2018;-500;ив;;
1100;643;;4900743377;;34;05.03.2018;-500;ив;;
1100;643;;4900743487;;128;05.03.2018;-1000;ив;;
1100;643;;4900742661;;84;02.03.2018;-500;ив;;
1100;643;;4900743198;;259;02.03.2018;-8500;ив;;
1100;643;;4900742431;;110;02.03.2018;-500;ив;;
1100;643;;4900742643;;126;02.03.2018;-500;ив;;
1100;643;;4900743192;;51;02.03.2018;-1000;ив;;
1100;643;;4900743055;;28;02.03.2018;-1500;ив;;
1100;643;;4900743044;;141;02.03.2018;-4000;ив;;
1100;643;;4900743035;;89;02.03.2018;-2500;ив;;
1100;643;;4900741030;;69;28.02.2018;-500;ив;;
1100;101;;5000039906;;86;28.02.2018;48 000;ив;;
1100;643;;4900740826;;89;28.02.2018;-1500;ив;;
1100;643;;4900740442;;104;27.02.2018;-2000;ив;;
