Ьрђх№шры;;;;Ъ№рђъшщ ђхъёђ ьрђх№шрыр;;;;;Ч-ф;Шьџ 1
бъыф;ТФт;Ю;ФюъѓьЬђ№;;Яюч.;Ф/я№ютюфъш;Ъюы-тю т ХШ ттюфр;ХШТ;;
;;;;;;;;;;
1334692/;;;;TD схч BM, їрёђ.тћфт, 30 ъу, 300 ь(бЭпв);;;;;1100;жхэђ№.ёъырф-дшх№р
1100;643;;4900139788;;68;17.03.2014;-10;ив;;
1100;643;;4900139022;;78;14.03.2014;-30;ив;;
1100;643;;4900138512;;175;13.03.2014;-10;ив;;
1100;643;;4900137924;;71;12.03.2014;-10;ив;;
1100;643;;4900137275;;2;11.03.2014;-10;ив;;
1100;643;;4900137100;;84;11.03.2014;-10;ив;;
1100;643;;4900134757;;74;04.03.2014;-50;ив;;
1100;101;;5000008111;;4;03.03.2014;300;ив;;
1100;643;;4900133894;;96;28.02.2014;-10;ив;;
1100;643;;4900133360;;66;27.02.2014;-20;ив;;
1100;101;;5000007997;;63;26.02.2014;300;ив;;
1100;643;;4900132049;;99;25.02.2014;-10;ив;;
1100;643;;4900131607;;81;24.02.2014;-20;ив;;
1100;101;;5000007893;;52;21.02.2014;100;ив;;
1100;643;;4900131127;;123;21.02.2014;-20;ив;;
1100;643;;4900130412;;32;20.02.2014;-20;ив;;
1100;643;;4900128383;;10;17.02.2014;-10;ив;;
1100;643;;4900128388;;5;17.02.2014;-10;ив;;
1100;643;;4900128953;;121;17.02.2014;-10;ив;;
1100;643;;4900126493;;69;11.02.2014;-10;ив;;
1100;101;;5000007505;;77;07.02.2014;100;ив;;
1100;101;;5000007505;;35;07.02.2014;300;ив;;
1100;643;;4900124892;;109;06.02.2014;-10;ив;;
1100;643;;4900123498;;86;03.02.2014;-10;ив;;
1100;643;;4900123331;;111;03.02.2014;-10;ив;;
1100;643;;4900121183;;47;28.01.2014;-10;ив;;
1100;643;;4900119443;;226;22.01.2014;-220;ив;;
1100;643;;4900119443;;225;22.01.2014;-30;ив;;
1100;643;;4900118464;;110;20.01.2014;-10;ив;;
1100;643;;4900118461;;91;20.01.2014;-10;ив;;
1100;101;;5000007044;;100;17.01.2014;300;ив;;
1100;101;;5000007040;;7;17.01.2014;300;ив;;
1100;643;;4900115774;;130;13.01.2014;-10;ив;;
1100;643;;4900112863;;181;27.12.2013;-320;ив;;
1100;643;;4900112863;;180;27.12.2013;-30;ив;;
1100;643;;4900112682;;109;26.12.2013;-40;ив;;
1100;643;;4900112667;;210;26.12.2013;-90;ив;;
1100;643;;4900112612;;124;26.12.2013;-10;ив;;
1100;643;;4900109954;;210;20.12.2013;-30;ив;;
1100;101;;5000006506;;31;17.12.2013;300;ив;;
1100;643;;4900107524;;107;16.12.2013;-10;ив;;
1100;643;;4900106755;;200;13.12.2013;-10;ив;;
1100;643;;4900105655;;126;11.12.2013;-20;ив;;
1100;643;;4900105124;;180;10.12.2013;-20;ив;;
1100;643;;4900105124;;181;10.12.2013;-360;ив;;
1100;643;;4900105124;;182;10.12.2013;-120;ив;;
1100;643;;4900104586;;181;09.12.2013;-20;ив;;
1100;643;;4900103411;;114;05.12.2013;-20;ив;;
1100;643;;4900102322;;148;03.12.2013;-20;ив;;
1100;643;;4900102320;;141;03.12.2013;-40;ив;;
1100;643;;4900101239;;263;30.11.2013;-40;ив;;
1100;643;;4900100880;;133;29.11.2013;-10;ив;;
1100;643;;4900100299;;108;28.11.2013;-20;ив;;
1100;643;;4900099873;;124;27.11.2013;-10;ив;;
1100;101;;5000006072;;57;27.11.2013;380;ив;;
1100;101;;5000006024;;146;26.11.2013;360;ив;;
1100;101;;5000006024;;30;26.11.2013;360;ив;;
1100;643;;4900099447;;293;26.11.2013;-540;ив;;
1100;643;;4900098822;;161;25.11.2013;-10;ив;;
1100;643;;4900096588;;48;19.11.2013;-20;ив;;
1100;643;;4900095768;;169;15.11.2013;-30;ив;;
1100;643;;4900094164;;347;12.11.2013;-20;ив;;
1100;101;;5000005704;;95;12.11.2013;800;ив;;
1100;643;;4900093052;;204;08.11.2013;-10;ив;;
1100;643;;4900092633;;284;08.11.2013;-20;ив;;
1100;101;;5000005522;;59;06.11.2013;50;ив;;
1100;643;;4900091473;;174;05.11.2013;-10;ив;;
1100;643;;4900089497;;80;30.10.2013;-40;ив;;
1100;643;;4900089286;;213;29.10.2013;-80;ив;;
1100;643;;4900087312;;76;23.10.2013;-10;ив;;
1100;643;;4900086805;;141;22.10.2013;-10;ив;;
1100;643;;4900085783;;179;18.10.2013;-20;ив;;
1100;101;;5000005170;;73;17.10.2013;50;ив;;
1100;643;;4900084706;;107;16.10.2013;-10;ив;;
1100;643;;4900084224;;151;15.10.2013;-10;ив;;
1100;643;;4900084224;;152;15.10.2013;-120;ив;;
1100;643;;4900084224;;153;15.10.2013;-110;ив;;
1100;643;;4900080788;;54;04.10.2013;-10;ив;;
1100;643;;4900080553;;105;03.10.2013;-20;ив;;
1100;643;;4900079556;;219;01.10.2013;-20;ив;;
1100;643;;4900079502;;211;01.10.2013;-20;ив;;
1100;643;;4900076311;;189;20.09.2013;-20;ив;;
1100;643;;4900075295;;229;18.09.2013;-10;ив;;
1100;643;;4900075507;;95;18.09.2013;-10;ив;;
1100;643;;4900074977;;142;17.09.2013;-50;ив;;
1100;643;;4900074121;;196;13.09.2013;-10;ив;;
1100;643;;4900073092;;42;11.09.2013;-10;ив;;
1100;643;;4900073088;;76;11.09.2013;-20;ив;;
1100;643;;4900072148;;138;09.09.2013;-10;ив;;
1100;643;;4900071847;;195;09.09.2013;-20;ив;;
1100;643;;4900071448;;147;06.09.2013;-10;ив;;
1100;643;;4900071062;;181;05.09.2013;-10;ив;;
1100;643;;4900070089;;188;03.09.2013;-40;ив;;
1100;643;;4900070089;;189;03.09.2013;-10;ив;;
1100;643;;4900069689;;98;02.09.2013;-10;ив;;
1100;643;;4900069212;;177;30.08.2013;-50;ив;;
1100;643;;4900067038;;191;26.08.2013;-10;ив;;
